"Game","ReleaseDate","Genre","TotalEarnings","OfflineEarnings","PercentOffline","TotalPlayers","TotalTournaments"
"Age of Empires",1997,"Strategy",493845.74,363105.4,0.735260771916348,453,250
"Age of Empires II",1999,"Strategy",3220622.76,1131355.02,0.351284550941943,1968,1583
"Age of Empires III",2005,"Strategy",115418.65,41800,0.362159841585394,165,155
"Age of Empires IV",2021,"Strategy",977755.71,409117.93,0.418425508351161,539,319
"Age of Empires Online",2011,"Strategy",9706.56,775,0.0798429103616523,44,49
"Age of Mythology",2002,"Strategy",155363.52,73511.79,0.473159915532295,217,256
"Among Us",2018,"Strategy",86000,0,0,14,8
"Auto Chess",2019,"Strategy",1163720.28,1038222.28,0.892157933348038,133,52
"Brawl Stars",2018,"Strategy",6952011.8,3048208.14,0.4384641780959,682,187
"Chess.com",2007,"Strategy",5923563.33,655000,0.110575335066098,1026,575
"chess24",2014,"Strategy",4179375.43,0,0,90,28
"chessarena.com",2021,"Strategy",263363.64,54000,0.205039693406425,134,22
"Clash of Clans",2012,"Strategy",4471027.87,2827101.87,0.632315868341926,367,65
"Clash Royale",2016,"Strategy",7697666.25,3427579.12,0.445275101398427,528,115
"Clash Royale x Chess",2022,"Strategy",0,0,NA,0,0
"Command & Conquer 3",2007,"Strategy",53086.67,53086.67,1,9,8
"Command & Conquer: Red Alert",1996,"Strategy",15000,15000,1,8,1
"Company of Heroes 2",2013,"Strategy",8561.22,7956.22,0.929332501676163,11,6
"ComPet",2016,"Strategy",2000,0,0,50,1
"Dead By Daylight",2016,"Strategy",60000,0,0,35,9
"Dead by Daylight Mobile",2020,"Strategy",10000,0,0,0,1
"Dota Underlords",2019,"Strategy",26024.18,0,0,62,36
"Endgods",2015,"Strategy",0,0,NA,0,0
"Farming Simulator 19",2018,"Strategy",582267.88,171889.81,0.295207439572315,127,25
"Grey Goo",2015,"Strategy",36400,30400,0.835164835164835,18,5
"Heroes of Might and Magic III",1999,"Strategy",0,0,NA,0,0
"Identity V",2018,"Strategy",1774630.31,1311194.98,0.738855283047656,73,5
"Internet Chess Club",1995,"Strategy",10000,0,0,6,1
"Iron Harvest",2020,"Strategy",0,0,NA,0,0
"Legion TD 2",2021,"Strategy",0,0,NA,0,0
"Lichess",2010,"Strategy",1300329.91,0,0,346,177
"Loco Dojo Unleashed",2021,"Strategy",1000,1000,1,4,1
"Men of War: Assault Squad 2",2014,"Strategy",0,0,NA,0,0
"Multigaming",2000,"Strategy",574135.5,516816.46,0.900164612709021,49,10
"Playchess.com",2002,"Strategy",32866.58,0,0,116,9
